Front	Back
学号	xuéhào — student ID number
账号	zhànghào | Account
密码	mìmǎ — password
经理	jīnglǐ — manager
联系	liánxì — to contact
跟	gēn | With (doing something with someone)
随时	suíshí — anytime / whenever
来找我	lái zhǎo wǒ | Come find me
再见	zàijiàn — goodbye
没问题	méi wèntí — no problem
不客气	bù kèqi — you're welcome
请等一下	qǐng děng yīxià — please wait a moment (casual)
我帮你联系我的经理	Wǒ bāng nǐ liánxì wǒ de jīnglǐ | I will contact my manager for you
你知道你的学号吗？	Nǐ zhīdào nǐ de xuéhào ma? | Do you know your student number?
你的密码对吗？*	Nǐ de mìmǎ duì ma? | Is your password correct?
有问题随时来找我	Yǒu wèntí suíshí lái zhǎo wǒ | Come find me anytime if you have questions
了	le — change of state / completed action particle (NOT simple past tense)
跟⋯说话	gēn...shuōhuà | To speak WITH someone
吗	ma — question particle (yes/no questions)
想	xiǎng — to want to / to think
继续	jìxù | Continue
对话	duìhuà | Conversation
我们	wǒmen | We / our
老师	lǎoshī | Teacher / tutor (casual
导师	dǎoshī | Mentor / academic tutor
家教	jiājiào | Private tutor (one-on-one)
我的世界	wǒ de shìjiè — Minecraft
世界	shìjiè | World
挖矿	wā kuàng — to mine
啊	a — softening particle (friendliness / mild emphasis)
哎呀	āiyā — oh! / ah! (casual exclamation)
这儿	zhèr — here (spoken/casual)
一些	yīxiē — some / a few
给你	gěi nǐ — here you go / for you
够	gòu — enough
够用了	gòu yòng le — that's plenty / enough to use
快没了	kuài méi le — almost run out / nearly gone
钻石	zuànshí — diamond
镐子	gǎozi — pickaxe
洞穴	dòngxué — cave
一起	yīqǐ — together
那个	nà ge — that (one)
吧	ba — (particle) softens suggestions — shall we? / right?
等一下	děng yīxià — wait a moment / one sec
先	xiān — first / before anything else
带	dài — to bring / to carry
火把	huǒbǎ — torch
个	gè — general counter word for objects
怪物	guàiwù — mob / monster
小心	xiǎoxīn — be careful
可能	kěnéng — maybe / possibly 
里	lǐ — inside / within
剑	jiàn — sword
想要	xiǎng yào / want
不用了	bù yòng le — no need / it's okay
出发	chūfā — to set off / head out
哇塞	wā sāi — whoa! (strong colloquial exclamation)
走吧	zǒu ba — let's go!
没有	méiyǒu — to not have / there is none
当然	dāngrán — of course
一个人	yīgè rén — alone / by oneself
无聊	wúliáo — boring
刚	gāng — just (recently)
服务器	fúwùqì — server
没关系	méi guānxi — it's okay / no worries
其实	qí shí / Actually
基地	jīdì — base
一起住	yīqǐ zhù — live / stay together
工具	gōngjù — tools
木镐子	mù gǎozi — wooden pickaxe
石镐子	shí gǎozi — stone pickaxe
铁镐子	tiě gǎozi — iron pickaxe
钻石镐子	zuànshí gǎozi — diamond pickaxe
铁	tiě — iron
挖不了	wā bù liǎo — can't mine / unable to mine
只有	zhǐyǒu — only have
鹅卵石	é luǎn shí — cobblestone
主意	zhǔyì — idea
那边	nàbiān — over there
肯定	kěndìng — definitely
石头	shítou — stone
武器	wǔqì — weapons
多余	duōyú — spare / extra
铁剑	tiě jiàn — iron sword
咱们	zánmen — we / us (casual
跟着	gēnzhe — to follow
从这里	cóng zhèlǐ — from here
进去	jìnqù — to go in / enter
快	kuài — quickly / hurry
注意	zhùyì — to pay attention / watch out
周围	zhōuwéi — surroundings / around
现在	xiànzài — now / currently
等等	děngděng — wait a moment
声音	shēngyīn — sound
好像	hǎoxiàng — seems like / sounds like
僵尸	jiāngshī — zombie
准备好了	zhǔnbèi hǎo le — to be ready (lit. prepared successfully)
攻击	gōngjī — to attack
打	dǎ / hit
左边	zuǒbiān — left side
右边	yòubiān — right side
哎哟	āiyō — ouch / oh no (exclamation)
血量	xuèliàng — health points / HP
耶	yé — yeah / yay (celebration)
牛	niú — sick / cool (slang)
666	liù liù liù — awesome / smooth (gaming slang)
赢了	yíng le — we won
冲	chōng — charge / let's go
考试	kǎoshì — exam / test
参加考试	cānjiā kǎoshì — to take an exam
考试系统	kǎoshì xìtǒng — exam system
名字	míngzi — name
我叫	wǒ jiào — my name is / I am called
证件	zhèngjiàn — ID / identification document
学生证	xuéshēngzhèng — student ID card
手机	shǒujī — mobile phone
座位	zuòwèi — seat
座位号	zuòwèi hào — seat number
号	hào — number (for seats
换座位	huàn zuòwèi — to switch / change seats
