chinese,pinyin & english
早上好,zǎo shàng hǎo / good morning
来到,lái dào / come
频道,pín dào / channel
刚刚,gāng gāng / just now
升,shēng / l
起来,qǐ lái / Get up
落下去,là xià qù / fall down
落下,là xià / fall
太阳升,tài yáng shēng / The sun rises
老家,lǎo jiā / hometown
杭州,háng zhōu / Hangzhou
春节,chūn jié / Spring Festival
新年,xīn nián / new year
回到,huí dào / return to
家人,jiā rén / family
团聚,tuán jù / reunion
爸爸妈妈,bà bà mā mā / mom and dad
爷爷奶奶,yé yé nǎi nǎi / grandparents
外公,wài gōng / grandpa
外婆,wài pó / grandma
呃,è / Uh
上海,shàng hǎi / Shanghai
嗯,ń / Yeah
人不多,rén bù duō / Not many people
冬天,dōng tiān / winter
大衣,dà yī / coat
毛衣,máo yī / sweater
外面,wài miàn / outside
地下,dì xià / underground
草,cǎo / grass
草地,cǎo dì / grass
春天,chūn tiān / spring
夏天,xià tiān / summer
草会,cǎo huì / Cao Hui
变成,biàn chéng / become
绿色,lǜ sè / green
一排,yī pái / a row
树,shù / tree
树树,shù shù / tree tree
叶子,yè zi / leaves
松树,sōng shù / pine tree
针,zhēn / needle
这种,zhè zhǒng / This kind of
河,hé / river
这条,zhè tiáo / This one
宽,kuān / wide
长宽,zhǎng kuān / length and width
中间,zhōng jiān / middle
一座,yī zuò / one
桥,qiáo / bridge
从桥,cóng qiáo / Congqiao
开车,kāi chē / drive
骑,qí / ride
自行车,zì xíng chē / bicycle
不去,bù qù / Not going
出来,chū lái / come out
散步,sàn bù / take a walk
河边,hé biān / riverside
烈,liè / fierce
这棵树,zhè kē shù / this tree
雾,wù / fog
一点点,yì diǎn diǎn / a little bit
路路,lù lù / Lulu
人行道,rén xíng dào / sidewalk
有车,yǒu chē / Have a car
过去,guò qù / past
车,chē / car
栏杆,lán gān / railing
掉下去,diào xià qù / fall down
有人,yǒu rén / someone
掉,diào / drop
河里,hé lǐ / river
危险,wēi xiǎn / danger
垃圾桶,lā jī tǒng / trash can
可回收,kě huí shōu / recyclable
比如说,bǐ rú shuō / For example
纸,zhǐ / paper
塑料,sù liào / plastic
金属,jīn shǔ / metal
玻璃,bō lí / glass
属于,shǔ yú / Belong to
回收,huí shōu / Recycle
有害,yǒu hài / Harmful
垃圾,lā jī / garbage
化学,huà xué / Chemistry
制品,zhì pǐn / Products
电池,diàn chí / battery
灯,dēng / lamp
扔,rēng / Throw
三种,sān zhǒng / three kinds
分类,fēn lèi / Classification
分别,fēn bié / respectively
蓝色,lán sè / blue
红色,hóng sè / red
灰色,huī sè / gray
一段,yī duàn / a paragraph
河堤,hé dī / embankment
钓鱼,diào yú / fishing
鱼竿,yú gān / fishing rod
坐在,zuò zài / sit
有鱼,yǒu yú / There are fish
一件,yī jiàn / one piece
从来,cóng lái / never
钓上来,diào shàng lái / catch
过鱼,guò yú / Pass the fish
哦,ó / Oh
钓到,diào dào / catch
船,chuán / boat
天空,tiān kōng / sky
浅蓝色,qiǎn lán sè / light blue
雕塑,diāo sù / sculpture
女人,nǚ rén / woman
手里,shǒu lǐ / in hand
花篮,huā lán / flower basket
花花,huā huā / Hua Hua
花,huā / flower
脚下,jiǎo xià / underfoot
踩,cǎi / step on
云,yún / cloud
仙女,xiān nǚ / fairy
亭子,tíng zi / pavilion
形状,xíng zhuàng / shape
伞,sǎn / umbrella
用手,yòng shǒu / with hands
握住,wò zhù / hold
长得,zhǎng dé / looks
当天,dàng tiān / that day
避雨,bì yǔ / Take shelter from rain
哗啦啦,huā lā lā / Wow!
啦,la / La
白色,bái sè / white
黑色,hēi sè / black
很累,hěn lèi / very tired
后边,hòu biān / behind
健身器材,jiàn shēn qì cái / fitness equipment
健身,jiàn shēn / fitness
健身房,jiàn shēn fáng / gym
公共,gōng gòng / public
老人,lǎo rén / old man
太阳能,tài yáng néng / solar energy
板,bǎn / board
太阳光,tài yáng guāng / sunlight
发电,fā diàn / generate electricity
器材,qì cái / Equipment
推力,tuī lì / Thrust
上推,shàng tuī / push up
哼,hēng / Hum
拉,lā / pull
往上拉,wǎng shàng lā / pull up
试,shì / try
手,shǒu / hand
往前,wǎng qián / go forward
推,tuī / push
推推,tuī tuī / push push
锻炼,duàn liàn / exercise
胳膊,gē bó / arm
胸肌,xiōng jī / chest muscles
力量,lì liàng / strength
显示器,xiǎn shì qì / monitor
显示,xiǎn shì / show
使用,shǐ yòng / use
次数,cì shù / times
消耗,xiāo hào / consume
卡路里,kǎ lù lǐ / Calories
多长时间,duō zhǎng shí jiān / how long
寻找,xún zhǎo / looking for
呵呵,hē hē / Haha
往前走,wǎng qián zǒu / go forward
走过,zǒu guò / walked through
一段路,yī duàn lù / a section of the way
之前,zhī qián / before
打断,dǎ duàn / interrupt
停,tíng / stop
一会,yī huì / a while
接着,jiē zhe / Then
同样,tóng yàng / Likewise
平时,píng shí / Usually
老年人,lǎo nián rén / elderly
年龄,nián líng / age
人会,rén huì / People will
这会,zhè huì / This will
刺眼,cì yǎn / dazzling
就要,jiù yào / Want
几个,jǐ gè / several
晚,wǎn / late
天是,tiān shì / God is
白天,bái tiān / daytime
亮,liàng / bright
很长,hěn zhǎng / very long
天花板,tiān huā bǎn / ceiling
长椅,zhǎng yǐ / bench
靠,kào / Damn
卧,wò / lie down
向,xiàng / towards
后,hòu / after
靠背,kào bèi / backrest
背靠,bèi kào / leaning against
环卫工人,huán wèi gōng rén / sanitation worker
扫地,sǎo dì / sweep the floor
每个,měi gè / each
说明书,shuō míng shū / Instructions
举,jǔ / Lift
公共厕所,gōng gòng cè suǒ / public toilet
书店,shū diàn / bookstore
那里,nà lǐ / there
我用,wǒ yòng / I use
手指,shǒu zhǐ / fingers
指着,zhǐ zhe / pointing
房子,fáng zi / house
必要,bì yào / necessary
一下子,yī xià zi / All of a sudden
记住,jì zhù / remember
所有,suǒ yǒu / all
反复,fǎn fù / Repeat
出现,chū xiàn / appear
一定,yí dìng / Definitely
学好,xué hǎo / learn well
