chinese,pinyin & english
嗨,hāi / Hi
视频,shì pín / video
来聊,lái liáo / come chat
一聊,yī liáo / Let’s chat
宠物,chǒng wù / pet
点半,diǎn bàn / half past
一般,yì bān / Average
点到,diǎn dào / click to
点钟,diǎn zhōng / o'clock
一只,yī zhī / one
养,yǎng / raise
各种各样,gè zhǒng gè yàng / Various
宠物猫,chǒng wù māo / pet cat
乌龟,wū guī / turtle
小鸟,xiǎo niǎo / birdie
兔子,tù zi / rabbit
马猪,mǎ zhū / horse pig
黄油,huáng yóu / butter
沙发,shā fā / Sofa
恐龙,kǒng lóng / dinosaur
穿着,chuān zhe / wear
黄色,huáng sè / yellow
样子,yàng zi / appearance
尾巴,wěi ba / tail
乖,guāi / Be good
摸,mō / touch
头,tóu / head
窗外,chuāng wài / outside the window
奥特曼,ào tè màn / ultraman
日本,rì běn / Japan
动画片,dòng huà piàn / cartoon
人物,rén wù / characters
小猫,xiǎo māo / kitten
很乖,hěn guāi / Very well behaved
第四,dì sì / Fourth
上面,shàng miàn / above
糖糖,táng táng / Tangtang
母猫,mǔ māo / female cat
母,mǔ / mother
这三只,zhè sān zhǐ / These three
公,gōng / public
公猫,gōng māo / male cat
男孩,nán hái / boy
小女孩,xiǎo nǚ hái / little girl
另外,lìng wài / In addition
两只,liǎng zhǐ / two
笼子,lóng zi / cage
房,fáng / room
房在,fáng zài / The room is here
猫叫,māo jiào / meow
胖胖,pàng pàng / Fatty
阿里巴巴,ā lǐ bā bā / Alibaba
小巴,xiǎo bā / minibus
经常,jīng cháng / often
打架,dǎ jià / fight
啪啪,pā pā / bang bang
啪,pā / snap
相处,xiāng chǔ / get along
客厅,kè tīng / living room
里会,lǐ huì / Lihui
地上,dì shàng / on the ground
地板,dì bǎn / floor
装满,zhuāng mǎn / full
粮,liáng / grain
其他,qí tā / Others
粮碗,liáng wǎn / grain bowl
放在,fàng zài / put on
垫子,diàn zi / mat
为了,wèi le / for
防止,fáng zhǐ / prevent
洒,sǎ / sprinkle
会洒,huì sǎ / Will spill
下面,xià miàn / below
垫,diàn / pad
砂盆,shā pén / sand basin
厕所,cè suǒ / toilet
猫会,māo huì / Cat Club
一边,yī biān / aside
饮水机,yǐn shuǐ jī / water dispenser
它会,tā huì / it will
自动,zì dòng / automatic
出水,chū shuǐ / Out of water
当,dāng / when
流下来,liú xià lái / flow down
这样的话,zhè yàng de huà / In this case
粮桶,liáng tǒng / Grain bucket
一个桶,yí gè tǒng / a bucket
桶,tǒng / bucket
放,fàng / put
很多,hěn duō / a lot
盖,gài / cover
盖子,gài zi / cover
拧开,níng kāi / Unscrew
打开,dǎ kāi / open
存放,cún fàng / store
干燥,gān zào / dry
湿,shī / wet
干燥剂,gān zào jì / Desiccant
变坏,biàn huài / go bad
盖上,gài shàng / cover
一个碗,yí gè wǎn / a bowl
格子,gé zi / grid
一二三四,yī èr sān sì / one two three four
这样,zhè yàng / This way
吃零食,chī líng shí / Eat snacks
带有,dài yǒu / with
盘子,pán zi / plate
阳台,yáng tái / balcony
洗衣机,xǐ yī jī / washing machine
用来,yòng lái / used for
晒太阳,shài tài yáng / bask in the sun
阳光,yáng guāng / sunshine
窝,wō / nest
凳子,dèng zi / stool
一条,yī tiáo / one piece
不过,bù guò / However
假,jiǎ / false
玩具,wán jù / toys
抗狼,kàng láng / Anti-wolf
又,yòu / again
想要,xiǎng yào / want
吃饭,chī fàn / eat
其实,qí shí / Actually
习惯,xí guàn / habit
豌豆,wān dòu / peas
皮,pí / skin
老婆,lǎo pó / Wife
豆子,dòu zi / beans
只是,zhǐ shì / Just
馋,chán / Greedy
并,bìng / and
正要,zhèng yào / About to
刚才,gāng cái / Just now
肉排,ròu pái / Steak
土豆,tǔ dòu / potatoes
番茄,fān qié / tomato
电视剧,diàn shì jù / TV series
等待,děng dài / wait
看一看,kàn yī kàn / take a look
有没有,yǒu méi yǒu / Is there any
太阳,tài yáng / sun
强烈,qiáng liè / strong
照到,zhào dào / shine
打,dǎ / hit
评论,píng lùn / Comment
区里,qū lǐ / District
顺便,shùn biàn / By the way
零食,líng shí / Snacks
柜子,guì zi / cabinet
本来,běn lái / Originally
鸡肉,jī ròu / chicken
干给,gàn gěi / Give it a try
干,gàn / dry
一袋,yī dài / a bag
记得,jì de / remember
展示,zhǎn shì / show
喊,hǎn / shout
过来,guò lái / come here
抗狼抗,kàng láng kàng / Anti-wolf resistance
狼,láng / wolf
全部,quán bù / All
冻干,dòng gàn / Freeze-dried
着急,zháo jí / anxious
急得,jí dé / anxious
快要,kuài yào / Almost
哈哈,hā hā / Haha
袋子,dài zi / bag
最爱,zuì ài / favorite
哇,wa / wow
美味,měi wèi / Delicious
脆,cuì / crispy
回去,huí qù / go back
放到,fàng dào / put in
吃太多,chī tài duō / eat too much
还要,hái yào / More
正常,zhèng cháng / normal
才,cái / Talent
主食,zhǔ shí / staple food
一样,yī yàng / Same
拍,pāi / shoot
学到,xué dào / learned
词汇,cí huì / Vocabulary
表达,biǎo dá / express
下个,xià gè / Next
